,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S2116,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S2117,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S2118,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S2119,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S2120,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S2121,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S2122,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S2123,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S2124,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S2125,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S2126,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S2127,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S2128,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S2129,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S2130,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S2131,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S2132,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S2133,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S2134,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S2135,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S2136,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,reference,reference,reference
S2137,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,reference,reference,COP+
S2138,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S2139,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S2140,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S2141,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S2142,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S2143,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S2144,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S2145,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S2146,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S2147,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S2148,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S2149,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S2150,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S2151,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S2152,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S2153,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S2154,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S2155,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S2156,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S2157,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S2158,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S2159,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S2160,reference,Ren-,reference,PV-,reference,reference,reference,reference,reference,reference,reference
S2161,reference,Ren-,reference,PV-,reference,reference,reference,reference,reference,reference,COP+
S2162,reference,Ren-,reference,PV-,reference,reference,reference,reference,reference,PriceWood+,reference
S2163,reference,Ren-,reference,PV-,reference,reference,reference,reference,reference,PriceWood+,COP+
S2164,reference,Ren-,reference,PV-,reference,reference,reference,reference,PriceGas+,reference,reference
S2165,reference,Ren-,reference,PV-,reference,reference,reference,reference,PriceGas+,reference,COP+
S2166,reference,Ren-,reference,PV-,reference,reference,reference,reference,PriceGas+,PriceWood+,reference
S2167,reference,Ren-,reference,PV-,reference,reference,reference,reference,PriceGas+,PriceWood+,COP+
S2168,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,reference,reference,reference
S2169,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,reference,reference,COP+
S2170,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,reference,PriceWood+,reference
S2171,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,reference,PriceWood+,COP+
S2172,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,reference,reference
S2173,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,reference,COP+
S2174,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S2175,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S2176,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,reference,reference,reference
S2177,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,reference,reference,COP+
S2178,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,reference
S2179,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,COP+
S2180,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,reference,reference
S2181,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,reference,COP+
S2182,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S2183,reference,Ren-,reference,PV-,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S2184,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,reference,reference,reference
S2185,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,reference,reference,COP+
S2186,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference
S2187,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,reference,PriceWood+,COP+
S2188,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,PriceGas+,reference,reference
S2189,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,PriceGas+,reference,COP+
S2190,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S2191,reference,Ren-,reference,PV-,reference,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S2192,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,reference,reference,reference
S2193,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,reference,reference,COP+
S2194,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S2195,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S2196,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S2197,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S2198,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S2199,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S2200,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,reference,reference,reference
S2201,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,reference,reference,COP+
S2202,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S2203,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S2204,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S2205,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S2206,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S2207,reference,Ren-,reference,PV-,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S2208,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,reference,reference,reference
S2209,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,reference,reference,COP+
S2210,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,reference,PriceWood+,reference
S2211,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,reference,PriceWood+,COP+
S2212,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,PriceGas+,reference,reference
S2213,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,PriceGas+,reference,COP+
S2214,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S2215,reference,Ren-,reference,PV-,reference,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S2216,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,reference,reference,reference
S2217,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,reference,reference,COP+
S2218,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S2219,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S2220,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S2221,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S2222,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S2223,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S2224,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,reference
S2225,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,COP+
S2226,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S2227,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S2228,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S2229,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S2230,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S2231,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S2232,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,reference,reference,reference
S2233,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,reference,reference,COP+
S2234,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,reference,PriceWood+,reference
S2235,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,reference,PriceWood+,COP+
S2236,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,reference,reference
S2237,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,reference,COP+
S2238,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S2239,reference,Ren-,reference,PV-,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S2240,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,reference,reference
S2241,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+
S2242,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S2243,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S2244,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S2245,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S2246,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S2247,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S2248,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,reference,reference
S2249,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,reference,COP+
S2250,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S2251,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S2252,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S2253,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S2254,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S2255,reference,Ren-,reference,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
